KA,名义功率(kW),小轮转速(r/min),带型,基准宽度Bd,Hamin,Hfmin,e,Fmin,δmin,轴孔径d
200 / 400,2,2700,872.947,166.873,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,873.079,166.875,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,873.206,166.877,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,873.326,166.879,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,873.442,166.88,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,873.553,166.882,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,873.659,166.884,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,873.761,166.885,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,873.859,166.887,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,873.953,166.888,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,874.044,166.889,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,874.131,166.891,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,874.216,166.892,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,874.297,166.893,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,874.375,166.894,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,874.451,166.896,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,874.524,166.897,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
250 / 500,2,2300,546.07,153.769,12.5664,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 7~12,6.20 / 10.6
250 / 500,2,2300,546.617,153.795,12.5664,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 7~12,6.20 / 10.6
250 / 500,2,2300,547.124,153.82,12.5664,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 7~12,6.20 / 10.6
250 / 500,2,2300,547.597,153.842,12.5664,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 7~12,6.20 / 10.6
250 / 500,2,2480,638.038,157.55,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2480,638.451,157.565,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2480,638.839,157.578,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2480,639.203,157.591,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2480,639.546,157.603,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,749.87,160.898,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,750.176,160.906,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,750.465,160.913,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,750.739,160.92,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,750.999,160.927,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,751.246,160.933,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,751.482,160.939,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,751.706,160.945,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,751.92,160.95,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,752.124,160.955,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,752.319,160.96,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,752.505,160.965,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,752.684,160.97,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,752.856,160.974,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,753.02,160.978,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,753.178,160.982,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,753.329,160.986,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,753.475,160.989,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,753.616,160.993,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,753.751,160.996,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,753.881,161,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.007,161.003,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.128,161.006,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.245,161.009,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.359,161.012,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.468,161.015,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.574,161.017,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.676,161.02,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.775,161.022,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.872,161.025,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,754.965,161.027,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,755.055,161.029,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,755.143,161.031,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,755.228,161.034,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,755.311,161.036,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,755.391,161.038,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,755.469,161.04,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,755.545,161.042,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,755.619,161.043,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
250 / 500,2,2700,755.69,161.045,12.5664,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,255.5 / 505.5,76 / 50,220.6 / 470.6,0~0 / 5~8,4.26 / 7.32
280 / 560,2,2480,563.599,151.535,14.0743,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 7~12,6.82 / 11.9
280 / 560,2,2480,564.147,151.563,14.0743,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 7~12,6.82 / 11.9
280 / 560,2,2700,674.66,156.221,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,675.142,156.238,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,675.595,156.254,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,676.021,156.269,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,676.424,156.283,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,676.804,156.296,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,677.164,156.309,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,677.505,156.321,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,677.829,156.332,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,678.137,156.343,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,678.43,156.353,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,678.709,156.363,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,678.975,156.372,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,679.23,156.381,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,679.473,156.389,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,679.705,156.397,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,679.928,156.405,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,680.142,156.413,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,680.347,156.42,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,680.543,156.426,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,680.732,156.433,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,680.914,156.439,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,681.09,156.445,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,681.258,156.451,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,681.421,156.457,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,681.578,156.462,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,681.729,156.467,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,681.875,156.472,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,682.016,156.477,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,682.153,156.482,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,682.285,156.487,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,682.413,156.491,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,682.537,156.495,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,682.657,156.499,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,682.773,156.503,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,682.886,156.507,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,682.996,156.511,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.102,156.515,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.205,156.518,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.305,156.522,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.403,156.525,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.498,156.528,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.59,156.532,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.68,156.535,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.767,156.538,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.852,156.541,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,683.935,156.543,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,684.016,156.546,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,684.094,156.549,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,684.171,156.551,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,684.246,156.554,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,684.319,156.557,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
280 / 560,2,2700,684.39,156.559,14.0743,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,285.5 / 565.5,76 / 50,250.6 / 530.6,0~0 / 5~8,4.69 / 8.17
